,handle,solvedCount,voteCount,class,tier,ratingByProblemsSum,university
4f3a87nm,4f3a87nm,513,11,5,19,1678,성균관대학교
4hn6,4hn6,1393,89,7,22,1890,서울대학교
4kaps,4kaps,80,0,3,11,644,국민대학교
4khm,4khm,105,0,1,7,295,서강대학교
4legged,4legged,52,0,1,5,98,성균관대학교
4n3mone,4n3mone,335,0,3,12,811,연세대학교
4ugi72,4ugi72,161,0,3,11,694,아주대학교
5012s,5012s,20,0,1,2,29,국민대학교
507b,507b,103,0,2,9,473,서울대학교
513sojin,513sojin,305,0,4,14,1035,숭실대학교
525hm,525hm,118,0,0,14,1182,서울대학교
5320shin,5320shin,1204,38,5,17,1434,연세대학교
5hyunseok,5hyunseok,316,0,1,11,713,연세대학교
5kyoungs,5kyoungs,192,0,1,13,1019,성균관대학교
5qjsalsdn,5qjsalsdn,28,0,1,3,57,경북대학교
5queries,5queries,28,0,0,9,587,고려대학교
5yoondori,5yoondori,193,0,2,12,889,서울대학교
610ksh,610ksh,748,50,5,17,1396,국민대학교
702fbtngus,702fbtngus,398,0,2,13,976,KAIST
7244sy,7244sy,353,0,5,16,1288,경북대학교
77601251,77601251,25,0,0,5,131,성균관대학교
777joonho,777joonho,344,0,5,16,1266,국민대학교
77999jno,77999jno,184,0,2,13,948,국민대학교
7942jun,7942jun,383,0,6,18,1579,서울대학교
79brue,79brue,2875,526,10,31,2583,MIT
7dudtj,7dudtj,592,108,5,17,1388,연세대학교
7human,7human,148,0,3,12,775,경북대학교
7illume_21,7illume_21,295,1,5,16,1303,고려대학교
7l0l0,7l0l0,361,0,4,14,970,중앙대학교
7mercenary,7mercenary,409,0,4,15,1225,아주대학교
818jsy,818jsy,18,0,0,3,83,고려대학교
827645,827645,174,0,1,9,439,국민대학교
83428342_python,83428342_python,145,0,2,9,502,중앙대학교
8402kjy,8402kjy,59,0,1,6,136,한양대학교
8624paul,8624paul,776,20,6,19,1676,고려대학교
8834jun,8834jun,138,0,2,9,485,고려대학교
888,888,95,0,1,9,434,중앙대학교
888develop888,888develop888,48,0,0,9,474,숭실대학교
88dydfuf,88dydfuf,149,0,2,11,781,중앙대학교
8ark1hyun,8ark1hyun,127,0,1,9,397,POSTECH
8eng,8eng,238,0,3,13,989,한양대학교
9025697,9025697,319,0,4,15,1291,연세대학교
9114jin,9114jin,926,5,5,18,1554,서강대학교
913jun,913jun,47,0,1,4,80,연세대학교
93sh97ss,93sh97ss,145,0,0,14,1195,성균관대학교
95jinwoo,95jinwoo,294,0,1,12,827,고려대학교
96rlarms,96rlarms,368,0,3,15,1335,경북대학교
98qkrwjdal,98qkrwjdal,68,0,0,9,571,중앙대학교
9911alpha,9911alpha,247,0,4,14,1096,숭실대학교
9967han,9967han,340,0,5,16,1382,성균관대학교
99chanwoo,99chanwoo,130,0,2,10,626,서울대학교
99hanyang,99hanyang,245,0,4,14,1004,한양대학교
99jaehyunlee,99jaehyunlee,337,0,3,15,1192,KAIST
9c120n,9c120n,256,0,4,15,1200,고려대학교
9gugaga,9gugaga,117,0,2,9,471,서울대학교
9h0jun1115,9h0jun1115,159,0,4,15,1209,국민대학교
Acka,Acka,1441,2,7,22,1999,아주대학교
AdcKi,AdcKi,315,0,3,14,1123,한양대학교
Alinfty,Alinfty,396,27,8,22,1956,서울대학교
Apple_Cplus,Apple_Cplus,1581,0,5,20,1816,연세대학교
BothEarRim,BothEarRim,5231,250,6,19,1683,아주대학교
