,handle,solvedCount,voteCount,class,tier,ratingByProblemsSum,university
kyc1591,kyc1591,28,0,0,2,57,성균관대학교
kyc3492,kyc3492,132,0,3,13,970,한양대학교
kychan05,kychan05,112,0,2,9,427,경북대학교
kyeoji0128,kyeoji0128,106,0,1,10,660,서강대학교
kyeongho0527,kyeongho0527,7,0,0,0,9,경북대학교
kyhdudgns113,kyhdudgns113,534,0,4,16,1321,성균관대학교
kyi4210,kyi4210,439,0,5,17,1419,중앙대학교
kyj0032,kyj0032,329,0,4,15,1286,고려대학교
kyj030108,kyj030108,97,0,2,8,349,연세대학교
kyj210319,kyj210319,138,0,2,10,576,아주대학교
kyj93790,kyj93790,441,0,4,18,1605,서강대학교
kyjin116,kyjin116,298,0,4,14,1032,성균관대학교
kyjin2881,kyjin2881,258,0,4,15,1156,아주대학교
kyky1003,kyky1003,278,0,4,15,1146,연세대학교
kyle0528,kyle0528,30,0,0,6,191,한양대학교
kyle1017,kyle1017,0,0,0,0,0,고려대학교
kyleoh95,kyleoh95,237,0,1,13,965,숭실대학교
kymreo,kymreo,45,0,1,4,72,중앙대학교
kyo20111,kyo20111,8203,2313,9,28,2424,숭실대학교
kyo289,kyo289,289,0,3,15,1353,숭실대학교
kyoonji1121,kyoonji1121,249,0,4,15,1226,KAIST
kyp0416,kyp0416,486,1,4,16,1315,아주대학교
kyr778,kyr778,1221,43,7,21,1817,국민대학교
kys010306,kys010306,362,0,5,16,1271,서강대학교
kys0423op,kys0423op,1,0,0,0,1,국민대학교
kys329,kys329,117,40,7,21,1897,서울대학교
kys7031010,kys7031010,200,0,2,11,698,중앙대학교
kyseo4646,kyseo4646,189,0,2,11,735,고려대학교
kyu5787,kyu5787,187,0,3,13,908,POSTECH
kyuchan1352,kyuchan1352,104,0,1,7,293,국민대학교
kyuholee2,kyuholee2,39,0,1,5,113,KAIST
kyuhunsim,kyuhunsim,344,0,3,14,1024,성균관대학교
kyujin0115,kyujin0115,103,0,2,10,607,성균관대학교
kyukun3,kyukun3,170,0,4,13,991,한양대학교
kyuli0909,kyuli0909,189,0,3,14,1121,서강대학교
kyun2024,kyun2024,1127,19,5,19,1618,국민대학교
kyungddin,kyungddin,78,0,1,6,183,중앙대학교
kyungha1227,kyungha1227,91,0,2,11,762,고려대학교
kywho0915,kywho0915,237,0,2,15,1287,서강대학교
kywoo26,kywoo26,338,0,4,15,1288,중앙대학교
kzrt0123,kzrt0123,197,0,3,12,811,중앙대학교
l0rq2,l0rq2,75,0,0,9,541,한양대학교
l0z1k,l0z1k,178,0,4,15,1293,고려대학교
l2zz,l2zz,398,0,5,16,1352,KAIST
l33ja3yun,l33ja3yun,14,0,0,1,36,중앙대학교
l4538,l4538,292,0,4,14,1060,숭실대학교
l5726493,l5726493,309,0,4,14,1101,숭실대학교
labyrinth03,labyrinth03,110,0,2,8,356,서강대학교
lacrimak,lacrimak,636,1,4,18,1585,서강대학교
laga,laga,109,0,1,9,489,KAIST
lahl0178,lahl0178,114,0,1,8,351,성균관대학교
lake,lake,380,0,5,16,1399,한양대학교
laks7985,laks7985,399,1,5,17,1445,연세대학교
lakshimi,lakshimi,1375,1,5,19,1659,연세대학교
lala_0,lala_0,5,0,0,0,5,국민대학교
lameinthebox,lameinthebox,462,0,3,15,1180,서울대학교
lamion_lee,lamion_lee,157,0,3,11,704,고려대학교
lamknh,lamknh,307,0,3,13,997,경북대학교
lani009,lani009,30,0,0,6,181,아주대학교
laniel88,laniel88,133,0,2,10,609,한양대학교
lapi5,lapi5,338,0,7,20,1810,서울대학교
lapis0875,lapis0875,360,0,3,13,940,숭실대학교
laplace04,laplace04,63,0,1,8,426,서강대학교
large_q,large_q,214,0,2,10,603,서울대학교
larpore2,larpore2,544,56,0,0,0,중앙대학교
laru1072,laru1072,137,0,4,14,1031,한양대학교
lastdefiance20,lastdefiance20,191,0,3,12,744,숭실대학교
lastone817,lastone817,193,0,3,14,1052,서울대학교
latter2005,latter2005,167,2,1,15,1453,경북대학교
laura0518,laura0518,107,0,1,6,190,한양대학교
laurach99,laurach99,317,0,3,14,1143,연세대학교
lavataste,lavataste,80,0,0,11,785,성균관대학교
laviande22,laviande22,226,0,3,13,881,KAIST
law,law,32,0,1,5,118,고려대학교
lawkelvin33,lawkelvin33,133,0,3,11,712,고려대학교
laziu_cc,laziu_cc,55,0,0,8,379,고려대학교
lazywhale,lazywhale,37,0,1,3,59,서울대학교
lbrolrlo,lbrolrlo,39,0,1,4,70,서강대학교
lby0816,lby0816,45,0,0,7,312,한양대학교
lcdoac12,lcdoac12,408,0,5,16,1383,아주대학교
lch01387,lch01387,50,0,0,9,487,국민대학교
lchwon,lchwon,2,0,0,0,13,고려대학교
lcr7324,lcr7324,1842,4,6,20,1713,연세대학교
lcs5382,lcs5382,259,0,3,14,1023,KAIST
lcw_1030,lcw_1030,249,0,2,12,889,고려대학교
ld1157,ld1157,34,0,1,3,67,서강대학교
ldh019,ldh019,552,2,4,16,1343,중앙대학교
ldh2033,ldh2033,175,0,4,15,1213,숭실대학교
ldh297,ldh297,349,0,3,15,1239,성균관대학교
ldhun041203,ldhun041203,1110,1,9,25,2238,서울대학교
ldj6192,ldj6192,293,0,3,11,640,고려대학교
lduck2001,lduck2001,46,0,1,4,70,경북대학교
ldw0318,ldw0318,558,0,5,16,1376,한양대학교
ldy9320,ldy9320,220,0,4,15,1162,성균관대학교
le5544,le5544,142,0,2,13,969,고려대학교
leaf134,leaf134,86,0,1,9,469,경북대학교
learner,learner,88,0,1,7,269,아주대학교
leblang,leblang,29,0,0,4,116,서울대학교
lectura,lectura,584,0,4,18,1617,서강대학교
ledi000,ledi000,228,0,4,15,1188,서강대학교
lee01042000,lee01042000,39,0,0,7,289,경북대학교
lee1201zxc,lee1201zxc,616,40,5,16,1338,숭실대학교
lee1721,lee1721,28,0,0,6,180,성균관대학교
lee617,lee617,102,0,2,9,469,KAIST
leecjs00,leecjs00,716,56,5,17,1426,서울대학교
leecs0503,leecs0503,1651,4,6,25,2254,한양대학교
leedc01010,leedc01010,55,0,1,5,98,성균관대학교
leedh2004,leedh2004,467,0,5,16,1371,한양대학교
leedjik,leedjik,251,0,0,15,1277,중앙대학교
leedy3838,leedy3838,487,1,5,16,1279,숭실대학교
leedy40259,leedy40259,19,0,0,3,103,연세대학교
leedy5521,leedy5521,187,0,2,11,729,숭실대학교
leeej106,leeej106,144,0,3,12,858,경북대학교
leeemail,leeemail,139,0,3,14,1074,서강대학교
leeerjin,leeerjin,110,0,4,12,765,KAIST
leeeyj,leeeyj,208,0,3,13,978,국민대학교
leef7002,leef7002,156,0,2,11,803,한양대학교
leefree93,leefree93,12,0,0,0,12,고려대학교
leegiyoon,leegiyoon,101,0,1,7,274,서울대학교
leego0221,leego0221,57,0,1,6,160,숭실대학교
leegyuhyung30,leegyuhyung30,23,0,0,2,64,POSTECH
leeh18,leeh18,3102,659,8,26,2335,성균관대학교
leehadol60,leehadol60,35,0,1,3,66,고려대학교
leehai0317,leehai0317,22,0,0,6,200,한양대학교
leehojune,leehojune,83,0,1,7,306,고려대학교
leehq67,leehq67,57,0,1,5,123,KAIST
leehun456,leehun456,303,1,3,16,1476,아주대학교
leejb4078,leejb4078,134,0,2,11,676,중앙대학교
leejh9711,leejh9711,306,0,4,15,1122,숭실대학교
leejinzero,leejinzero,139,0,0,14,1180,경북대학교
leejk118,leejk118,264,0,4,15,1209,숭실대학교
leejonghun,leejonghun,353,0,4,16,1351,경북대학교
leejonghyeop,leejonghyeop,320,0,4,15,1196,한양대학교
leejs1030,leejs1030,289,2,5,16,1295,고려대학교
leejseo,leejseo,1193,143,8,26,2340,KAIST
leejuho2001,leejuho2001,326,0,5,15,1257,중앙대학교
leejy0321,leejy0321,141,0,2,10,642,고려대학교
leejydh97,leejydh97,222,0,4,13,874,KAIST
leekh100000,leekh100000,772,146,6,18,1567,한양대학교
leekitten123,leekitten123,206,0,3,14,1044,국민대학교
leel1257,leel1257,206,0,3,14,1041,고려대학교
leemarshal,leemarshal,160,0,4,13,996,중앙대학교
leemh9207,leemh9207,210,0,3,14,1039,아주대학교
leeminjae,leeminjae,525,0,4,17,1520,고려대학교
leeminseo0923,leeminseo0923,435,0,5,15,1097,숭실대학교
leemkl,leemkl,90,0,0,9,494,아주대학교
leemuwon1,leemuwon1,83,0,2,9,473,고려대학교
leemyl,leemyl,670,147,5,17,1472,POSTECH
leena9901,leena9901,139,0,1,11,816,아주대학교
leeryan123,leeryan123,199,0,1,9,503,아주대학교
lees101,lees101,91,0,1,10,614,성균관대학교
lees741,lees741,230,0,5,15,1250,서울대학교
leese0425,leese0425,605,0,6,19,1641,서강대학교
leeseungsu,leeseungsu,4,0,0,0,22,한양대학교
leesh5000,leesh5000,226,0,4,15,1155,한양대학교
leesj2222,leesj2222,131,0,1,9,428,아주대학교
leessunny95,leessunny95,347,0,5,15,1226,성균관대학교
leesu0712,leesu0712,191,0,3,13,1004,연세대학교
leesy2202,leesy2202,70,0,1,8,358,한양대학교
leetkdguq73,leetkdguq73,240,0,4,14,1043,경북대학교
leewon0826,leewon0826,118,0,1,8,356,한양대학교
leewoo0326,leewoo0326,53,0,2,9,428,서울대학교
leeye51456,leeye51456,56,0,0,8,382,한양대학교
leeyj1007987,leeyj1007987,136,0,2,9,448,성균관대학교
leeykkk22,leeykkk22,373,0,5,16,1323,서울대학교
leeym95,leeym95,584,7,6,19,1687,숭실대학교
legatalee,legatalee,3,0,0,0,8,숭실대학교
legionary7931,legionary7931,173,0,3,14,1096,성균관대학교
lego0142,lego0142,69,0,0,8,364,중앙대학교
lego0901,lego0901,1208,75,9,26,2316,서울대학교
legobox137,legobox137,70,0,0,9,510,국민대학교
legojeon,legojeon,56,0,0,8,427,KAIST
legokjuny,legokjuny,8,0,0,0,8,KAIST
leivoev,leivoev,118,0,2,10,592,연세대학교
lej4545,lej4545,98,0,1,9,429,아주대학교
lem0nad3,lem0nad3,2373,1596,9,26,2331,서강대학교
lemonada,lemonada,164,0,2,10,532,경북대학교
lemonade2216,lemonade2216,200,0,2,11,708,연세대학교
lemonajoc,lemonajoc,505,42,5,16,1339,한양대학교
lemonbalm25,lemonbalm25,285,0,3,14,1049,중앙대학교
lemondouble,lemondouble,442,0,3,14,1006,경북대학교
lemonl7,lemonl7,392,0,4,15,1297,성균관대학교
lemonnade,lemonnade,405,1,7,21,1856,고려대학교
lemonstar99,lemonstar99,307,0,4,14,1017,고려대학교
lentti,lentti,304,0,3,13,930,고려대학교
leo020630,leo020630,2929,2069,9,26,2314,POSTECH
leo437782,leo437782,137,0,1,10,603,고려대학교
leodal,leodal,119,0,2,9,424,서울대학교
leokim1209,leokim1209,92,0,2,7,278,성균관대학교
leonardkkh,leonardkkh,219,0,2,13,956,중앙대학교
lepetitprinz,lepetitprinz,753,0,4,15,1089,서강대학교
lets98,lets98,363,0,4,15,1122,한양대학교
letscode100,letscode100,724,98,7,21,1805,한양대학교
letsksy,letsksy,203,0,4,13,948,서울대학교
letter1006,letter1006,95,0,2,8,381,국민대학교
lety,lety,1545,3,6,20,1719,성균관대학교
levelup,levelup,185,0,3,14,1125,아주대학교
lewis461,lewis461,43,0,1,6,141,서강대학교
lg8375,lg8375,506,0,4,17,1564,경북대학교
lghlee1,lghlee1,404,8,5,17,1486,한양대학교
lgkrwnsdll,lgkrwnsdll,8,0,0,1,31,연세대학교
lgm0905,lgm0905,120,0,2,10,531,서울대학교
lgmoo2002,lgmoo2002,19,0,0,1,36,서울대학교
lgun202,lgun202,138,0,2,11,774,중앙대학교
lgy159,lgy159,643,0,5,16,1249,아주대학교
lhb2160,lhb2160,0,0,0,0,0,성균관대학교
lhg020912,lhg020912,83,0,1,6,213,숭실대학교
lhg0729,lhg0729,129,0,2,10,537,숭실대학교
lhj1007,lhj1007,219,0,2,12,932,서울대학교
lhj9606,lhj9606,117,0,2,8,318,한양대학교
lhjin05,lhjin05,116,0,3,12,792,아주대학교
lhju4e,lhju4e,100,0,0,12,954,숭실대학교
lhm6199,lhm6199,131,0,2,9,450,성균관대학교
lhm7198,lhm7198,139,0,3,13,1054,성균관대학교
lhs0314,lhs0314,345,0,4,16,1408,KAIST
lhs8701,lhs8701,515,0,5,15,1219,경북대학교
lhslhg,lhslhg,88,0,1,8,351,POSTECH
lhw941,lhw941,152,0,1,11,782,KAIST
lhy100494,lhy100494,648,0,5,17,1410,서강대학교
li_v_rlo,li_v_rlo,95,0,1,6,207,서강대학교
lian874,lian874,340,0,2,11,608,연세대학교
liargames2002,liargames2002,214,0,5,15,1247,KAIST
libner,libner,124,0,1,9,418,성균관대학교
lickelon,lickelon,1422,41,4,18,1587,서강대학교
lifeboat,lifeboat,546,0,4,18,1598,서강대학교
lifeelj,lifeelj,12,0,0,2,78,성균관대학교
lifelectronics,lifelectronics,98,0,1,7,275,성균관대학교
lifespank,lifespank,493,0,5,16,1364,연세대학교
lifethis21,lifethis21,195,0,2,11,666,국민대학교
light0811,light0811,16,0,0,0,16,경북대학교
lightbulb,lightbulb,379,0,4,16,1304,한양대학교
lighter,lighter,2202,1081,5,21,1864,고려대학교
lightmag,lightmag,36,0,0,6,244,중앙대학교
lightseller,lightseller,177,0,1,11,714,고려대학교
lih0730,lih0730,75,0,0,10,692,숭실대학교
lih2482,lih2482,169,0,1,9,436,연세대학교
likeaboat,likeaboat,14,0,0,1,21,연세대학교
likeacloud,likeacloud,369,0,3,14,1093,서울대학교
likebell99,likebell99,30,0,0,4,100,숭실대학교
liku99,liku99,159,0,2,10,588,숭실대학교
lilyhong511,lilyhong511,171,0,3,12,765,고려대학교
lim990718,lim990718,366,0,4,15,1267,고려대학교
limbs710,limbs710,324,0,5,16,1274,서강대학교
limdongjin,limdongjin,424,0,5,16,1296,서강대학교
limdongyoung0,limdongyoung0,212,0,4,14,1036,중앙대학교
lime_bell,lime_bell,93,0,2,8,354,KAIST
limepencil,limepencil,1429,883,5,20,1704,연세대학교
limgm123,limgm123,241,0,4,14,1005,성균관대학교
limhaksu,limhaksu,340,0,4,15,1247,연세대학교
limhizy15,limhizy15,123,0,2,11,738,아주대학교
limhyuk01,limhyuk01,50,0,0,9,484,중앙대학교
limitkr,limitkr,310,0,4,15,1164,서울대학교
limjisuu,limjisuu,338,0,3,13,902,고려대학교
limlim,limlim,20,0,0,5,163,연세대학교
limsoo,limsoo,87,0,1,8,317,중앙대학교
limss9076,limss9076,311,0,4,15,1152,서강대학교
limssi,limssi,713,0,5,17,1473,한양대학교
limssss,limssss,120,0,0,13,1147,고려대학교
limtsoo,limtsoo,249,0,2,13,931,KAIST
linak0,linak0,76,0,1,7,243,서울대학교
line0806,line0806,219,0,3,12,836,숭실대학교
line1029,line1029,586,0,5,17,1437,연세대학교
linuxlight,linuxlight,55,0,1,6,142,중앙대학교
liomessi,liomessi,314,0,4,15,1234,성균관대학교
lis301,lis301,176,0,1,12,970,성균관대학교
lis9906,lis9906,34,0,1,3,67,성균관대학교
lisa1072,lisa1072,134,0,1,13,1078,성균관대학교
lisal17,lisal17,64,0,1,6,138,경북대학교
litehell,litehell,291,0,3,13,888,중앙대학교
liuss98,liuss98,100,0,2,9,399,한양대학교
liv0617,liv0617,440,0,5,16,1374,한양대학교
livinit,livinit,162,0,4,14,1058,고려대학교
lixd289,lixd289,144,0,2,9,456,숭실대학교
lja9702,lja9702,747,0,4,17,1464,숭실대학교
ljae1129,ljae1129,136,0,3,12,901,아주대학교
ljaewon97,ljaewon97,1107,39,6,21,1833,서울대학교
ljb0967,ljb0967,180,0,3,11,661,고려대학교
ljb1905,ljb1905,511,0,4,18,1596,아주대학교
ljb220,ljb220,123,0,2,11,792,중앙대학교
ljg0012,ljg0012,49,0,1,4,85,고려대학교
ljh5736,ljh5736,34,0,0,7,302,POSTECH
ljh8450,ljh8450,342,0,3,12,814,아주대학교
ljh971201,ljh971201,366,0,4,17,1498,경북대학교
ljhhasang,ljhhasang,335,0,4,16,1330,아주대학교
ljhjoon00,ljhjoon00,199,0,3,14,1101,성균관대학교
ljho01,ljho01,217,0,3,13,961,연세대학교
ljiho1998,ljiho1998,676,0,5,18,1560,고려대학교
ljinny98,ljinny98,167,0,1,9,422,연세대학교
ljj1516,ljj1516,176,0,3,12,788,고려대학교
ljj2559,ljj2559,23,0,0,5,154,경북대학교
ljj7121,ljj7121,75,0,1,10,655,경북대학교
ljj9717,ljj9717,164,0,2,11,748,고려대학교
ljjun0702,ljjun0702,328,0,4,15,1258,한양대학교
ljk6463,ljk6463,157,0,2,11,684,서강대학교
ljm2ya,ljm2ya,11,0,0,1,40,한양대학교
ljm9748,ljm9748,116,0,0,12,876,성균관대학교
ljscj7325,ljscj7325,120,0,2,9,422,중앙대학교
ljuh0928,ljuh0928,162,0,2,10,648,서강대학교
ljw0103,ljw0103,62,0,1,6,225,성균관대학교
ljw010512,ljw010512,210,0,2,15,1283,숭실대학교
ljw1015,ljw1015,182,0,3,11,740,한양대학교
ljw322,ljw322,108,0,1,10,568,성균관대학교
ljw4287,ljw4287,175,0,5,16,1298,성균관대학교
ljwbj1234,ljwbj1234,124,0,2,12,821,KAIST
ljwh1231,ljwh1231,360,0,4,15,1197,연세대학교
ljwoo98,ljwoo98,78,0,0,8,416,성균관대학교
ljy2784437,ljy2784437,505,0,4,16,1320,경북대학교
ljy2855,ljy2855,58,0,3,9,441,서강대학교
ljy7488,ljy7488,7,0,0,1,30,성균관대학교
lke1004,lke1004,330,0,4,15,1249,고려대학교
lkh981107,lkh981107,181,0,2,13,957,숭실대학교
lkj1016,lkj1016,240,0,5,16,1388,KAIST
lkm9709,lkm9709,101,0,2,9,400,국민대학교
lkslyj2,lkslyj2,158,0,3,13,1000,고려대학교
lkw02,lkw02,75,0,1,10,583,한양대학교
lkwks,lkwks,258,0,3,13,972,연세대학교
lky7674,lky7674,3957,3658,9,26,2297,연세대학교
lkyeon328,lkyeon328,642,2,5,17,1399,성균관대학교
llimjihye,llimjihye,148,0,1,13,1072,성균관대학교
lljhms,lljhms,220,0,2,10,510,숭실대학교
lmh315,lmh315,288,0,4,16,1414,연세대학교
lmh7687,lmh7687,13,0,0,2,53,연세대학교
lmn1349,lmn1349,217,0,5,15,1232,KAIST
lms062111,lms062111,527,10,6,18,1576,중앙대학교
lms990427,lms990427,443,20,5,17,1412,국민대학교
lmty213,lmty213,14,0,0,4,125,서울대학교
lmw7414,lmw7414,249,0,4,15,1274,경북대학교
lmwljw98,lmwljw98,62,0,1,6,224,국민대학교
lnonem214,lnonem214,77,0,1,6,195,고려대학교
lnwst21,lnwst21,667,0,5,17,1395,경북대학교
lnxhigh,lnxhigh,314,0,5,16,1354,고려대학교
loans,loans,185,0,4,14,1024,고려대학교
lobo_prix,lobo_prix,2479,297,8,25,2249,숭실대학교
lockcept,lockcept,369,0,3,14,1034,서울대학교
locke123,locke123,232,0,2,12,785,숭실대학교
locker50,locker50,226,0,3,12,797,숭실대학교
locomotivo,locomotivo,78,0,0,9,577,서강대학교
lodger0812,lodger0812,319,0,4,14,984,중앙대학교
loes353,loes353,591,0,6,20,1724,국민대학교
lofi0code,lofi0code,12,0,0,3,94,한양대학교
loftol,loftol,152,7,6,19,1696,서강대학교
log2hong,log2hong,412,0,3,14,1000,서울대학교
logeon0725,logeon0725,439,0,6,17,1461,숭실대학교
loggy0323,loggy0323,137,0,2,9,457,성균관대학교
loi107,loi107,157,0,1,9,516,성균관대학교
lojo0307,lojo0307,172,0,3,13,980,한양대학교
lojpark,lojpark,196,0,1,15,1302,성균관대학교
lolitadaisuki,lolitadaisuki,118,0,0,13,1068,숭실대학교
lollollol,lollollol,124,0,2,10,621,서강대학교
lomotos10,lomotos10,709,0,4,15,1269,KAIST
longhairedchihuahua,longhairedchihuahua,5,0,0,0,5,한양대학교
longlivedrgn,longlivedrgn,184,0,4,14,1112,연세대학교
longroot0702,longroot0702,168,0,2,9,497,중앙대학교
lonnie123,lonnie123,244,0,5,16,1279,서강대학교
looka149,looka149,133,0,0,13,1029,고려대학교
loopyjjang,loopyjjang,67,0,1,6,166,숭실대학교
lordly,lordly,493,0,5,16,1355,한양대학교
loststar01,loststar01,7,0,0,0,7,성균관대학교
lotiple,lotiple,19,0,1,3,66,서울대학교
lotteman97,lotteman97,80,0,1,7,251,중앙대학교
louis9982,louis9982,48,0,0,8,390,숭실대학교
louisdebroglie,louisdebroglie,572,0,5,20,1822,연세대학교
louise,louise,259,0,4,15,1262,숭실대학교
louxsoen,louxsoen,76,0,1,8,345,고려대학교
lovablekks,lovablekks,206,0,1,14,1175,경북대학교
love94610,love94610,728,0,7,21,1853,한양대학교
lovelace,lovelace,1,0,0,0,1,아주대학교
loveleesj,loveleesj,548,2,6,19,1630,KAIST
lovelyoverflow,lovelyoverflow,171,0,1,12,863,국민대학교
lovenody,lovenody,659,0,5,17,1396,서강대학교
loveyourself,loveyourself,715,2,4,17,1489,한양대학교
loypyx,loypyx,138,0,3,12,862,KAIST
lpl2001,lpl2001,67,0,1,6,175,중앙대학교
lqcit1051,lqcit1051,891,88,7,23,2066,서울대학교
ls119,ls119,6,0,0,2,56,아주대학교
ls4154,ls4154,671,5,6,20,1776,성균관대학교
lsc4719,lsc4719,400,26,1,18,1746,아주대학교
lse1002,lse1002,80,0,0,11,749,한양대학교
lsh04,lsh04,6,0,0,0,6,서울대학교
lsh09130,lsh09130,76,0,1,7,307,서울대학교
lsh1107,lsh1107,26,0,0,2,44,KAIST
lsh111112,lsh111112,851,171,5,18,1527,한양대학교
lsh232330,lsh232330,45,0,1,5,104,중앙대학교
lsh9034,lsh9034,624,6,6,19,1658,국민대학교
lsheon0728,lsheon0728,17,0,0,4,123,중앙대학교
lsi,lsi,54,0,1,6,209,아주대학교
lsj030329,lsj030329,427,18,5,18,1563,한양대학교
lsj11070,lsj11070,4,0,0,0,4,성균관대학교
lsj94721,lsj94721,5,0,0,0,25,고려대학교
lsj9873,lsj9873,146,0,1,12,939,아주대학교
lsjpjs1,lsjpjs1,96,0,1,10,702,고려대학교
lsjppp1,lsjppp1,312,0,3,14,1029,국민대학교
lsl4497,lsl4497,179,0,4,14,1003,KAIST
lsmbest,lsmbest,164,0,1,11,683,성균관대학교
lsmin,lsmin,80,0,1,8,324,서강대학교
lstwinsj3,lstwinsj3,502,2,5,18,1601,서강대학교
lsujj48,lsujj48,905,129,7,22,1956,경북대학교
lsw1996,lsw1996,103,0,3,12,827,서강대학교
lswdaniel,lswdaniel,46,0,0,5,128,고려대학교
lsy0105kr,lsy0105kr,2,0,0,0,14,서울대학교
lsy044,lsy044,125,0,1,11,716,고려대학교
lsy3000,lsy3000,125,0,1,12,946,경북대학교
lsy980124,lsy980124,246,21,7,21,1841,서강대학교
lsyeon1997,lsyeon1997,55,0,0,7,298,아주대학교
lsyleg,lsyleg,23,0,0,2,55,경북대학교
lt4545,lt4545,168,0,2,10,573,고려대학교
ltnyst10,ltnyst10,173,0,2,13,979,숭실대학교
lucas0209,lucas0209,184,0,3,15,1228,연세대학교
lucas9302,lucas9302,733,38,5,17,1409,고려대학교
lucas_official,lucas_official,29,0,1,3,48,KAIST
lucete0627,lucete0627,1,0,0,0,1,서울대학교
lucia_j,lucia_j,111,0,1,9,456,국민대학교
luciaholic,luciaholic,3537,3532,8,25,2252,연세대학교
lucian0910,lucian0910,307,3,5,17,1460,성균관대학교
lucidash,lucidash,331,0,1,15,1316,KAIST
luckylee524,luckylee524,158,0,3,11,752,중앙대학교
luckylooky2,luckylooky2,291,0,5,15,1253,국민대학교
lucple,lucple,400,0,5,16,1314,아주대학교
lucy0418,lucy0418,7,0,0,1,39,POSTECH
ludena,ludena,209,0,2,11,755,국민대학교
ludwings,ludwings,892,12,6,19,1661,한양대학교
lufovic77,lufovic77,267,0,3,14,1133,성균관대학교
lugigi,lugigi,58,0,1,5,112,숭실대학교
luis03,luis03,194,0,2,10,585,한양대학교
luke0201,luke0201,1085,0,5,18,1559,아주대학교
luke1046,luke1046,628,15,5,17,1486,중앙대학교
luke1239,luke1239,22,0,0,5,134,KAIST
lukek1101,lukek1101,342,23,4,16,1403,서울대학교
lukev3,lukev3,249,0,3,14,1073,한양대학교
lumennaturale,lumennaturale,28,0,0,4,108,KAIST
lumerico284,lumerico284,343,0,4,15,1254,고려대학교
lumicode,lumicode,136,0,4,15,1274,서울대학교
luna7182,luna7182,459,39,5,16,1340,성균관대학교
lunamundus1007,lunamundus1007,76,0,2,8,310,연세대학교
lunaof12,lunaof12,358,0,4,15,1148,고려대학교
lunapocket,lunapocket,239,0,2,15,1279,한양대학교
lunaram620,lunaram620,129,0,2,10,545,중앙대학교
luneberry,luneberry,120,0,1,10,592,고려대학교
luniro,luniro,898,87,4,18,1561,연세대학교
luok377,luok377,359,0,4,16,1364,한양대학교
luol12,luol12,19,0,0,1,23,아주대학교
lupin0326,lupin0326,1,0,0,0,1,연세대학교
lur100,lur100,428,0,5,16,1288,숭실대학교
lushin3,lushin3,248,0,3,13,969,경북대학교
luxray,luxray,6,0,0,0,6,아주대학교
luxrex6249,luxrex6249,27,0,1,2,34,중앙대학교
luzairun,luzairun,69,0,1,7,301,숭실대학교
lvalue,lvalue,188,44,1,17,1610,서강대학교
lvnax822,lvnax822,131,0,2,12,848,숭실대학교
lwskms,lwskms,372,0,4,15,1149,경북대학교
lwy970327,lwy970327,68,0,1,7,266,성균관대학교
lwyeol,lwyeol,1022,4,5,16,1295,성균관대학교
lxs0940,lxs0940,48,0,1,6,156,고려대학교
lxxseunghh,lxxseunghh,102,0,5,15,1230,서울대학교
ly7689,ly7689,59,0,1,6,145,경북대학교
ly8844,ly8844,198,0,4,14,1015,연세대학교
lyb0414,lyb0414,132,0,2,9,465,POSTECH
lyb3532,lyb3532,61,0,1,6,130,숭실대학교
lyb35548,lyb35548,246,0,3,14,1141,중앙대학교
lybin71,lybin71,93,0,1,7,243,서울대학교
lycoris1600,lycoris1600,2925,128,5,22,1928,서울대학교
lyj9975,lyj9975,316,13,6,21,1881,서울대학교
lyk1012,lyk1012,402,0,1,12,825,POSTECH
lynn7114,lynn7114,29,0,0,4,114,서강대학교
lynnd36,lynnd36,97,0,2,11,690,국민대학교
lyrical309,lyrical309,621,0,6,17,1508,숭실대학교
lys7aves,lys7aves,477,0,4,17,1457,고려대학교
lyung_0,lyung_0,760,260,8,23,2072,경북대학교
m2162003,m2162003,506,0,5,16,1344,고려대학교
m4ushold,m4ushold,2077,95,8,24,2083,숭실대학교
m8825m,m8825m,182,0,2,12,812,한양대학교
mac520,mac520,89,0,2,7,284,한양대학교
macboy0503,macboy0503,221,0,2,12,788,숭실대학교
mach020122,mach020122,39,0,0,5,132,국민대학교
madeleine5022,madeleine5022,152,0,2,9,484,고려대학교
maemesoft,maemesoft,106,0,1,9,431,숭실대학교
magatonman,magatonman,360,8,4,16,1321,KAIST
magic4510,magic4510,74,0,0,11,751,연세대학교
magiclogicagnes08,magiclogicagnes08,208,0,4,14,1067,서울대학교
magnolia5,magnolia5,993,0,6,18,1573,한양대학교
magpies1221,magpies1221,501,0,4,16,1293,숭실대학교
maguri02,maguri02,288,0,3,13,920,숭실대학교
mahoon2,mahoon2,372,23,6,18,1584,서울대학교
maiego,maiego,663,3,5,18,1553,한양대학교
mail0409,mail0409,49,0,1,5,92,KAIST
maizer51,maizer51,218,0,3,13,1030,고려대학교
maj34,maj34,13,0,0,0,16,국민대학교
majunge,majunge,41,0,0,7,302,서강대학교
makao135,makao135,94,0,1,7,301,경북대학교
makarong,makarong,145,0,2,11,789,한양대학교
makerdark98,makerdark98,796,17,7,22,1916,중앙대학교
makiplayer123,makiplayer123,112,0,3,10,579,아주대학교
malloc099,malloc099,15,0,0,4,107,KAIST
mame,mame,447,8,6,18,1561,고려대학교
mamy0320,mamy0320,99,0,1,8,391,고려대학교
